,molecule_chembl_id,IC50,units,smiles,pIC50
1978,CHEMBL4849212,99.6,nM,C=CC(=O)N1CCc2nn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c3c2C1,7.001740661576301
1979,CHEMBL4856336,99.9,nM,CC#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(C)cc5)cc4)[nH]c23)CC1,7.000434511774017
1980,CHEMBL4210340,100.0,nM,CC#CC(=O)N1CCC[C@@H](n2nc(-c3ccc(C(=O)Nc4ccccn4)cc3)c3cnccc32)C1,7.0
1981,CHEMBL4114651,100.0,nM,CC(C)/C=C(\C#N)C(=O)N1CCC[C@H]1Cn1nc(-c2ccc(Oc3c(F)cccc3F)cc2)c2c(N)ncnc21,7.0
1982,CHEMBL4473261,100.0,nM,O=C(Nc1cccc(C2CCCN(c3ncnc4[nH]ccc34)C2)c1)Nc1ccccc1C1CCCC1,7.0
1983,CHEMBL4215275,100.0,nM,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4cccc(OC)c4F)cc3)c3cncc(OC)c32)C1,7.0
1984,CHEMBL386760,100.0,nM,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1,7.0
1985,CHEMBL4873239,100.0,nM,CC#CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c(C(N)=O)n1N,7.0
1986,CHEMBL3355049,101.0,nM,COCCOc1ccc(Nc2ncc(F)c(Nc3cccc(NC(=O)C(O)CO)c3)n2)cc1,6.995678626217357
1987,CHEMBL3621510,101.0,nM,CN1CCN(C(=O)c2ccc3c(c2)[nH]c2c(C(N)=O)ccc(-c4ccc(Cl)c(Cl)c4)c23)CC1,6.995678626217357
1988,CHEMBL3355052,101.0,nM,C=CC(=O)Nc1cccc(Nc2nc(N(C)c3ccc(OCCO)cc3)ncc2F)c1,6.995678626217357
1989,CHEMBL4226239,102.4,nM,C=CC(=O)N1CCC[C@@H](n2nc(C#CCc3ccccc3)c3c(N)ncnc32)C1,6.9897000433601875
1990,CHEMBL3747130,103.0,nM,Cc1c(-c2cc(Nc3cc4n(n3)CCN(C)C4)c(=O)[nH]n2)ccc(F)c1NC(=O)c1cc2cccnc2s1,6.987162775294828
1991,CHEMBL4852264,103.0,nM,C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)C1,6.987162775294828
1992,CHEMBL3973003,103.0,nM,Cc1c(-c2ccnc3[nH]c(-c4ccc(CN5CCN(C)CC5)cc4)cc23)cccc1N1CCOc2cc(C3CC3)ccc2C1=O,6.987162775294828
1993,CHEMBL3621507,103.0,nM,CN1CCN(C(=O)c2ccc3c(c2)[nH]c2c(C(N)=O)ccc(-c4ccc(C(C)(C)C)cc4)c23)CC1,6.987162775294828
1994,CHEMBL4741355,104.0,nM,Cc1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CCCN(C(=O)C5(C)COC5)C4)n4ccnc(N)c34)c(F)c2)n1,6.982966660701219
1995,CHEMBL4576801,104.0,nM,C/C=C/C(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,6.982966660701219
